Latitude,Longitude,Altura,Azimute,num_rows,num_columns,beamforming_gain,tx_power,element_max_g,sub_num_rows,downtilt
-15.7682,-47.7968,18,60,4,5,9.01,37,2.15,4,3
-15.7682,-47.7968,18,180,8,1,6.03,35,2.15,4,2
-15.7682,-47.7968,18,300,6,2,5.79,38,2.15,4,3
-15.7681999500018,-47.7921339454723,18,60,3,2,2.78,49,2.15,4,2
-15.7681999500018,-47.7921339454723,18,180,3,4,7.79,46,2.15,4,7
-15.7681999500018,-47.7921339454723,18,300,6,1,3.78,44,2.15,4,4
-15.7642868555904,-47.7944670174415,18,60,8,10,14.03,46,2.15,4,3
-15.7642868555904,-47.7944670174415,18,180,9,8,15.57,30,2.15,4,5
-15.7642868555904,-47.7944670174415,18,300,8,6,13.81,38,2.15,4,5
-15.7642868555904,-47.7991329825585,18,60,2,4,4.03,45,2.15,4,5
-15.7642868555904,-47.7991329825585,18,180,8,1,5.03,38,2.15,4,7
-15.7642868555904,-47.7991329825585,18,300,7,4,13.47,44,2.15,4,6
-15.7681999500018,-47.8014660545277,18,60,6,3,10.55,50,2.15,4,7
-15.7681999500018,-47.8014660545277,18,180,7,10,14.45,32,2.15,4,6
-15.7681999500018,-47.8014660545277,18,300,2,10,8.01,31,2.15,4,2
-15.7721131180062,-47.799133071986,18,60,9,1,7.54,43,2.15,4,5
-15.7721131180062,-47.799133071986,18,180,5,5,11.98,46,2.15,4,3
-15.7721131180062,-47.799133071986,18,300,7,10,14.45,35,2.15,4,7
-15.7721131180062,-47.794466928014,18,60,9,2,8.55,46,2.15,4,2
-15.7721131180062,-47.794466928014,18,180,8,3,10.8,44,2.15,4,7
-15.7721131180062,-47.794466928014,18,300,8,8,16.06,40,2.15,4,4
-15.7681998000072,-47.787467890978,18,60,10,9,18.54,42,2.15,4,5
-15.7681998000072,-47.787467890978,18,180,2,8,9.04,39,2.15,4,3
-15.7681998000072,-47.787467890978,18,300,9,6,16.32,44,2.15,4,5
-15.76428675562,-47.7898010523413,18,60,5,6,10.77,30,2.15,4,7
-15.76428675562,-47.7898010523413,18,180,3,9,11.31,50,2.15,4,3
-15.76428675562,-47.7898010523413,18,300,4,4,9.04,39,2.15,4,7
-15.7603736847972,-47.7921341242772,18,60,8,3,11.8,38,2.15,4,5
-15.7603736847972,-47.7921341242772,18,180,5,9,11.53,49,2.15,4,5
-15.7603736847972,-47.7921341242772,18,300,3,9,12.31,48,2.15,4,5
-15.7603737347693,-47.7968,18,60,5,2,8,42,2.15,4,2
-15.7603737347693,-47.7968,18,180,10,3,11.77,30,2.15,4,3
-15.7603737347693,-47.7968,18,300,4,8,11.05,50,2.15,4,5
-15.7603736847972,-47.8014658757228,18,60,3,5,8.76,30,2.15,4,2
-15.7603736847972,-47.8014658757228,18,180,1,8,6.03,31,2.15,4,3
-15.7603736847972,-47.8014658757228,18,300,9,3,9.31,34,2.15,4,2
-15.76428675562,-47.8037989476587,18,60,2,9,10.55,38,2.15,4,7
-15.76428675562,-47.8037989476587,18,180,1,7,7.45,37,2.15,4,5
-15.76428675562,-47.8037989476587,18,300,9,4,14.56,44,2.15,4,5
-15.7681998000072,-47.806132109022,18,60,10,7,14.45,45,2.15,4,2
-15.7681998000072,-47.806132109022,18,180,4,1,4.02,41,2.15,4,5
-15.7681998000072,-47.806132109022,18,300,10,10,16,46,2.15,4,7
-15.7721130179837,-47.8037992159411,18,60,4,10,15.02,31,2.15,4,5
-15.7721130179837,-47.8037992159411,18,180,1,5,1.99,42,2.15,4,2
-15.7721130179837,-47.8037992159411,18,300,1,7,7.45,40,2.15,4,3
-15.776026209589,-47.8014662334328,18,60,8,8,17.06,45,2.15,4,3
-15.776026209589,-47.8014662334328,18,180,3,10,9.77,37,2.15,4,7
-15.776026209589,-47.8014662334328,18,300,10,3,9.77,50,2.15,4,4
-15.7760262596133,-47.7968,18,60,9,5,15.53,48,2.15,4,2
-15.7760262596133,-47.7968,18,180,7,1,3.45,37,2.15,4,5
-15.7760262596133,-47.7968,18,300,4,10,11.02,37,2.15,4,7
-15.776026209589,-47.7921337665672,18,60,1,2,0.01,49,2.15,4,4
-15.776026209589,-47.7921337665672,18,180,6,8,12.81,44,2.15,4,2
-15.776026209589,-47.7921337665672,18,300,4,6,11.8,31,2.15,4,2
-15.7721130179837,-47.7898007840589,18,60,6,5,9.77,49,2.15,4,4
-15.7721130179837,-47.7898007840589,18,180,6,9,12.32,43,2.15,4,3
-15.7721130179837,-47.7898007840589,18,300,1,1,0,49,2.15,4,5
